Operation,Request time,Response time
GetPaymentList,1/1/2023 10:00:23.000,1/1/2023 10:03:41.000
GetOrderList,1/1/2023 10:13:14.230,1/1/2023 10:13:21.430
GetPaymentList,1/1/2023 10:26:05.460,1/1/2023 10:26:42.460
SetDeliveryAddress,1/1/2023 10:38:56.690,1/1/2023 10:39:29.290
SendNotification,1/1/2023 10:51:47.920,1/1/2023 10:52:04.420
ModifyOrder,1/1/2023 11:04:39.150,1/1/2023 11:05:10.250
SetPayment,1/1/2023 11:17:30.380,1/1/2023 11:17:59.780
ModifyItem,1/1/2023 11:30:21.610,1/1/2023 11:31:40.810
SetDeliveryAddress,1/1/2023 11:43:12.840,1/1/2023 11:43:39.940
AddItemToOrder,1/1/2023 11:56:04.070,1/1/2023 11:56:49.270
GetTrackingData,1/1/2023 12:08:55.300,1/1/2023 12:09:19.500
GetOrderList,1/1/2023 12:21:46.530,1/1/2023 12:22:16.230
Login,1/1/2023 12:34:37.760,1/1/2023 12:35:22.260
GetItem,1/1/2023 12:47:28.990,1/1/2023 12:47:56.490
AddItemToOrder,1/1/2023 13:00:20.220,1/1/2023 13:00:30.020
GetItem,1/1/2023 13:13:11.450,1/1/2023 13:13:16.950
SetDeliveryAddress,1/1/2023 13:26:02.680,1/1/2023 13:26:30.880
Login,1/1/2023 13:38:53.910,1/1/2023 13:39:16.310
GetOrder,1/1/2023 13:51:45.140,1/1/2023 13:52:23.140
GetItem,1/1/2023 14:04:36.370,1/1/2023 14:05:16.070
SetPayment,1/1/2023 14:17:27.600,1/1/2023 14:18:09.700
GetOrder,1/1/2023 14:30:18.830,1/1/2023 14:30:59.830
GetPaymentMethods,1/1/2023 14:43:10.060,1/1/2023 14:43:20.260
GetTrackingData,1/1/2023 14:56:01.290,1/1/2023 14:56:35.090
GetPaymentMethods,1/1/2023 15:08:52.520,1/1/2023 15:09:20.820
GetItem,1/1/2023 15:21:43.750,1/1/2023 15:21:49.150
GetItemList,1/1/2023 15:34:34.980,1/1/2023 15:35:04.680
GetOrder,1/1/2023 15:47:26.210,1/1/2023 15:47:45.110
SendNotification,1/1/2023 16:00:17.440,1/1/2023 16:01:05.840
SetPayment,1/1/2023 16:13:08.670,1/1/2023 16:13:56.770
SetPayment,1/1/2023 16:25:59.900,1/1/2023 16:26:37.800
GetOrder,1/1/2023 16:38:51.130,1/1/2023 16:39:18.330
GetPaymentList,1/1/2023 16:51:42.360,1/1/2023 16:52:29.860
AddItemToOrder,1/1/2023 17:04:33.590,1/1/2023 17:05:00.290
GetOrder,1/1/2023 17:17:24.820,1/1/2023 17:18:10.820
ModifyOrder,1/1/2023 17:30:16.050,1/1/2023 17:32:24.050
GetPaymentList,1/1/2023 17:43:07.280,1/1/2023 17:43:55.180
GetItemList,1/1/2023 17:55:58.510,1/1/2023 17:56:29.910
ModifyItem,1/1/2023 18:08:49.740,1/1/2023 18:09:38.840
GetPaymentList,1/1/2023 18:21:40.970,1/1/2023 18:22:09.270
SetPayment,1/1/2023 18:34:32.200,1/1/2023 18:35:11.200
SendNotification,1/1/2023 18:47:23.430,1/1/2023 18:47:30.230
GetItem,1/1/2023 19:00:14.660,1/1/2023 19:00:26.960
ModifyItem,1/1/2023 19:13:05.890,1/1/2023 19:14:20.490
