Operation,Request time,Response time
GetPaymentMethods,1/5/2023 09:25:11.000,1/5/2023 09:25:53.300
ModifyItem,1/5/2023 09:38:02.230,1/5/2023 09:38:14.530
AddItemToOrder,1/5/2023 09:50:53.460,1/5/2023 09:50:53.860
GetPaymentList,1/5/2023 10:03:44.690,1/5/2023 10:03:50.590
AddItemToOrder,1/5/2023 10:16:35.920,1/5/2023 10:16:48.420
GetItem,1/5/2023 10:29:27.150,1/5/2023 10:29:43.250
ModifyItem,1/5/2023 10:42:18.380,1/5/2023 10:42:34.680
GetOrderList,1/5/2023 10:55:09.610,1/5/2023 10:55:35.910
ModifyOrder,1/5/2023 11:08:00.840,1/5/2023 11:08:25.440
AddItemToOrder,1/5/2023 11:20:52.070,1/5/2023 11:21:15.270
GetPaymentList,1/5/2023 11:33:43.300,1/5/2023 11:34:16.100
SetDeliveryAddress,1/5/2023 11:46:34.530,1/5/2023 11:47:06.230
AddItemToOrder,1/5/2023 11:59:25.760,1/5/2023 11:59:42.660
GetTrackingData,1/5/2023 12:12:16.990,1/5/2023 12:12:25.690
SetDeliveryAddress,1/5/2023 12:25:08.220,1/5/2023 12:25:30.620
SetDeliveryAddress,1/5/2023 12:37:59.450,1/5/2023 12:38:23.450
SetDeliveryAddress,1/5/2023 12:50:50.680,1/5/2023 12:51:22.480
GetOrderList,1/5/2023 13:03:41.910,1/5/2023 13:03:53.710
GetPaymentList,1/5/2023 13:16:33.140,1/5/2023 13:16:38.340
SetDeliveryAddress,1/5/2023 13:29:24.370,1/5/2023 13:29:54.770
SetDeliveryAddress,1/5/2023 13:42:15.600,1/5/2023 13:42:28.200
GetOrder,1/5/2023 13:55:06.830,1/5/2023 13:55:10.730
GetItem,1/5/2023 14:07:58.060,1/5/2023 14:08:01.960
SetDeliveryAddress,1/5/2023 14:20:49.290,1/5/2023 14:21:04.990
GetTrackingData,1/5/2023 14:33:40.520,1/5/2023 14:34:05.020
GetItem,1/5/2023 14:46:31.750,1/5/2023 14:46:56.250
GetOrder,1/5/2023 14:59:22.980,1/5/2023 14:59:37.880
GetOrderList,1/5/2023 15:12:14.210,1/5/2023 15:12:20.610
AddItemToOrder,1/5/2023 15:25:05.440,1/5/2023 15:25:06.140
